"id","isbn","callnumber","fail"
"0001","9789864340804","312.7565 8344 2016","fail"
"0002","9789865022471","","fail"
"0003","9789863125501","312.32P97 864",""
"0004","9789570852332","","fail"
"0005","9789570810783","",""
"0006","9789570851519","571.6 2614",""
"0007","9789573284383","571.76 4444",""
"0008","9789864342815","312.32P97",""
"0009","9789861343228","176.4 4236",""
"0010","9789864768813","312.931 9134",""
"0011","9789864342945","312.2",""
"0012","9789864342099","312.92 8354-2","fail"
"0013","4717702045197","","fail"
"0014","9789864340484","312.2 460.2 2015","fail"
"0015","9789864764716","312.1695",""
"0016","9789864341375","312.76 447","fail"
"0017","9789869276115","427 2760","fail"
"0018","9789864342686","312.2 7711 106","fail"
"0019","9789864340798","","fail"
"0020","9789864760978","312.54 240","fail"
"0021","9789866009716","",""
"0022","9789869547314","494.2",""
"0023","9789865775773","",""
"0024","9789863772804","397",""
"0025","9789869553285","","fail"
"0026","9789865695521","910 733",""
"0027","9575681622","",""
"0028","4717702089290","BOOK 479.9 2632",""
"0029","4717095583139","","fail"
"0030","9789864050116","BOOK 400 8024",""
"0031","9789864050130","BOOK 400 7743 V.19","fail"
"0032","9789861546643","","fail"
"0033","9789861547619","","fail"
"0034","9789577023360","",""
"0035","9789571324227","",""
"0036","4717702089757","521.1 4022(1)","fail"
"0037","9789577490872","","fail"
"0038","9787562840855","","fail"
"0039","9789570387339","","fail"
"0040","9780596155513","","fail"
"0041","9780131100800","","fail"
"0042","9780131219311","","fail"
"0043","9780071155953","","fail"
"0044","9861573216","","fail"
"0045","9780130324955","TK545 N712 2001","fail"
"0046","9789867198532","","fail"
"0047","9780321303479","TK5105.888 S477 2005","fail"
"0048","9789866387074","","fail"
"0049","9780471283249","","fail"
"0050","9780393322767","","fail"
"0051","9789576365164","國家圖書館","fail"
"0052","9780024097309","TA403 .S515 1988","fail"
"0053","9780471153689","","fail"
"0054","9780201752953","","fail"
"0055","9780030186820","","fail"
"0056","9789862761359","","fail"
"0057","9789863470151","","fail"
"0058","9789861818511","",""
"0059","9789862763209","",""
"0060","9789862014004","","fail"
"0061","9789575278786","","fail"
"0062","9789572241936","","fail"
"0063","9789862761694","","fail"
"0064","9789862766675","","fail"
"0065","9789862768600","","fail"
"0066","9789862017050","","fail"
"0067","9789865740382","","fail"
"0068","9789866072956","","fail"
"0069","9789862760116","","fail"
"0070","9789862015827","","fail"
"0071","9789864340804","312.7565 8344 2016","fail"
"0072","9789862760956","","fail"
"0073","9789862767436","","fail"
"0074","9789862019306","","fail"
"0075","9789863473060","","fail"
"0076","9789572054024","","fail"
"0077","9789862017074","",""
"0078","9789862018200","","fail"
"0079","9789862760451","","fail"
"0080","9789867139672","",""
"0081","9789866360718","",""
"0082","9789867167811","",""
"0083","9789571048079","",""
"0084","9789862019405","","fail"
"0085","9789862019788","","fail"
"0086","9789572241004","","fail"
"0087","9789862768440","",""
"0088","9789864760572","512.4 8723 2016","fail"
"0089","9780679766117","","fail"
"0090","9789866029172","",""
"0091","9789863477983","471.516 1279-3",""
