id,title,isbn,link
1,MongoDB入門與活用,9789864340804,https://share.readmoo.com/book/844136
2,TensorFlow自然語言處理：善用 Python 深度學習函式庫，教機器學會自然語言,9789865022471,https://share.readmoo.com/book/842070
3,Deep learning 深度學習必讀：Keras 大神帶你用 Python 實作,9789863125501,https://share.readmoo.com/book/834781
4,黃仁宇的大歷史觀,9789570852332,https://share.readmoo.com/book/839303
5,中國大歷史,9789570810783,https://share.readmoo.com/book/361313
6,反民主,9789570851519,https://share.readmoo.com/book/811321
7,獨裁者手冊,9789573284383,https://share.readmoo.com/book/823645
8,圖說演算法：使用Python,9789864342815,https://share.readmoo.com/book/817849
9,知識的假象,9789861343228,https://share.readmoo.com/book/801626
10,現代演算法：原來理解演算法並不難,9789864768813,https://share.readmoo.com/book/817848
11,無瑕的程式碼：整潔的軟體設計與架構篇,9789864342945,https://share.readmoo.com/book/808153
12,無瑕的程式碼（敏捷完整篇）物件導向原則、設計模式與C#實踐,9789864342099,https://share.readmoo.com/book/753180
13,史蒂芬．金談寫作,4717702045197,https://share.readmoo.com/book/278789
14,程式設計範式與OOP的思考術：冒號老師的十三堂課（中文原創經典）,9789864340484,https://share.readmoo.com/book/496704
15,實戰聊天機器人Bot開發：使用Node.js,9789864764716,https://share.readmoo.com/book/761817
16,Kali Linux無線網路滲透測試,9789864341375,https://share.readmoo.com/book/676760
17,完美廚藝全書: 一看就懂的1000個料理關鍵字,9789869276115,https://share.readmoo.com/book/632358
18,敏捷方程式,9789864342686,https://share.readmoo.com/book/795824
19,跨視窗尺寸網頁設計實錄：All about RWD（Responsive Web Design）,9789864340798,https://share.readmoo.com/book/605199
20,Kubernetes使用指南,9789864760978,https://share.readmoo.com/book/675691
21,Evernote 100個做筆記的好方法,9789866009716,https://share.readmoo.com/book/6068
22,為什麼一流主管都用跨頁週間行事曆？,9789869547314,https://share.readmoo.com/book/795315
23,經穴大全,9789865775773,https://share.readmoo.com/book/349793
24,人體機能解剖全書vol.1,9789863772804,https://share.readmoo.com/book/755306
25,好音樂的科學II：從古典旋律到搖滾詩篇──看美妙樂曲如何改寫思維、療癒人心,9789869553285,https://share.readmoo.com/book/800608
26,好音樂的科學,9789865695521,https://share.readmoo.com/book/666808
27,室內園藝,9575681622,https://share.readmoo.com/book/802552
28,神奇的手帳整理魔法,4717702089290,https://share.readmoo.com/book/142532
29,音響論壇300期紀念特刊：音響調聲學,4717095583139,https://share.readmoo.com/book/802551
30,Make: Technology on Your Time 18 (國際中文版),9789864050116,https://share.readmoo.com/book/802550
31,Make: Technology on Your Time 19 (國際中文版),9789864050130,https://share.readmoo.com/book/536177
32,電子學(上冊)(第八版)(附Multisim範例光碟片),9789861546643,https://share.readmoo.com/book/802549
